departamento,codigodanedepartamento,municipio,codigodanemunicipio,anio,mes,tipodesminado,areadespejada,map,muse,aei,totalartefactosdestruidos,organizacion,estudiosnotecnicos,estudiostecnicos,operacionesdespeje
CAUCA,19,CORINTO,19212,2018,4,Comunidades,0,0,0,5,5,HANDICAP INTERNATIONAL,2,0,0
VALLE DEL CAUCA,76,PRADERA,76563,2019,2,Comunidades,2940,0,0,0,0,THE HALO TRUST,0,0,1
ANTIOQUIA,5,GRANADA,5313,2015,3,Comunidades,7786,1,0,0,1,BRDEH,7,1,1
META,50,VISTAHERMOSA,50711,2010,10,Comunidades,2488,2,2,0,4,BRDEH,0,1,1
ANTIOQUIA,5,SAN CARLOS,5649,2016,11,Comunidades,31217,0,4,0,4,BRDEH,0,0,3
SANTANDER,68,SABANA DE TORRES,68655,2016,11,Comunidades,0,0,0,0,0,BRDEH,0,0,0
ANTIOQUIA,5,GUATAPE,5321,2016,5,Comunidades,0,0,0,0,0,BRDEH,9,0,0
SANTANDER,68,EL CARMEN,68235,2018,3,Comunidades,6198,0,0,0,0,BRDEH,2,1,0
META,50,LEJANIAS,50400,2019,4,Comunidades,0,0,0,0,0,THE HALO TRUST,1,0,0
CALDAS,17,SAMANA,17662,2013,10,Comunidades,0,0,0,0,0,BRDEH,0,0,0
ANTIOQUIA,5,ARGELIA,5055,2018,4,Comunidades,0,0,0,0,0,THE HALO TRUST,1,0,0
TOLIMA,73,CHAPARRAL,73168,2018,7,Comunidades,24746,0,0,0,0,BRDEH,0,3,0
CALDAS,17,PENSILVANIA,17541,2019,5,Comunidades,7087,4,0,0,4,BRDEH,0,0,1
CAQUETA,18,SAN VICENTE DEL CAGUAN,18753,2019,3,Comunidades,5855,0,0,0,0,BRDEH,3,1,0
CAQUETA,18,MILAN,18460,2018,10,Comunidades,0,0,0,0,0,AYUDA POPULAR NORUEGA,0,0,0
CAQUETA,18,FLORENCIA,18001,2017,9,Comunidades,0,0,0,0,0,BRDEH,1,0,0
SANTANDER,68,CHIMA,68176,2019,3,Comunidades,0,0,0,0,0,BRDEH,1,0,0
CAQUETA,18,BELEN DE LOS ANDAQUIES,18094,2017,10,Comunidades,0,0,0,0,0,BRDEH,5,0,0
CAQUETA,18,EL PAUJIL,18256,2019,5,Comunidades,0,0,0,0,0,BRDEH,0,0,0
HUILA,41,NEIVA,41001,2017,10,Comunidades,0,0,0,0,0,BRDEH,2,0,0
SANTANDER,68,HATO,68344,2019,3,Comunidades,0,0,0,0,0,BRDEH,1,0,0
TOLIMA,73,CHAPARRAL,73168,2019,2,Comunidades,0,0,0,0,0,BRDEH,0,0,0
CALDAS,17,SAMANA,17662,2018,1,Comunidades,0,0,0,0,0,BRDEH,1,0,0
META,50,VISTAHERMOSA,50711,2018,8,Comunidades,0,0,0,0,0,CAMPANA COLOMBIANA CONTRA MINAS,0,0,0
NARINO,52,IPIALES,52356,2018,9,Comunidades,0,0,0,0,0,THE HALO TRUST,0,0,0
CUNDINAMARCA,25,MACHETA,25426,2018,1,Comunidades,0,0,0,0,0,BRDEH,1,0,0
ANTIOQUIA,5,SAN CARLOS,5649,2018,6,Comunidades,2868,0,0,0,0,BRDEH,0,0,2
ANTIOQUIA,5,BRICENO,5107,2015,5,Comunidades,0,0,0,0,0,AYUDA POPULAR NORUEGA,0,0,0
TOLIMA,73,CHAPARRAL,73168,2018,10,Comunidades,0,0,0,0,0,BRDEH,0,0,0
TOLIMA,73,RONCESVALLES,73622,2019,3,Comunidades,4944,1,0,0,1,BRDEH,0,0,1
SANTANDER,68,EL CARMEN,68235,2016,7,Comunidades,0,0,0,0,0,BRDEH,0,0,0
PUTUMAYO,86,PUERTO ASIS,86568,2018,2,Comunidades,0,0,0,0,0,CAMPANA COLOMBIANA CONTRA MINAS,0,0,0
BOLIVAR,13,ZAMBRANO,13894,2019,5,Comunidades,0,0,0,0,0,ARMADA NACIONAL,1,0,0
CALDAS,17,SAMANA,17662,2010,11,Comunidades,1602,2,0,0,2,BRDEH,1,2,1
HUILA,41,AIPE,41016,2019,6,Comunidades,0,0,0,0,0,BRDEH,9,0,0
ANTIOQUIA,5,SONSON,5756,2016,7,Comunidades,8224,13,0,0,13,THE HALO TRUST,1,0,3
TOLIMA,73,RIOBLANCO,73616,2017,6,Comunidades,0,0,0,0,0,BRDEH,4,0,0
ANTIOQUIA,5,COCORNA,5197,2014,10,Comunidades,3330,2,0,0,2,BRDEH,2,1,1
META,50,MESETAS,50330,2017,10,Comunidades,0,10,0,0,10,THE HALO TRUST,5,0,0
ANTIOQUIA,5,COCORNA,5197,2016,3,Comunidades,0,0,0,0,0,BRDEH,4,0,0
LA GUAJIRA,44,DIBULLA,44090,2017,5,Comunidades,0,0,0,0,0,BRDEH,3,0,0
HUILA,41,NEIVA,41001,2018,9,Comunidades,0,0,0,0,0,BRDEH,1,0,0
CALDAS,17,PENSILVANIA,17541,2018,8,Comunidades,0,0,0,0,0,BRDEH,5,0,0
SANTANDER,68,EL CARMEN,68235,2017,8,Comunidades,2984,0,0,0,0,BRDEH,4,1,0
META,50,EL CASTILLO,50251,2018,8,Comunidades,0,0,0,0,0,AYUDA POPULAR NORUEGA,8,0,0
ANTIOQUIA,5,SAN RAFAEL,5667,2015,7,Comunidades,0,0,0,0,0,THE HALO TRUST,0,0,0
ANTIOQUIA,5,SAN FRANCISCO,5652,2012,4,Comunidades,13286,5,0,0,5,BRDEH,1,3,3
CAQUETA,18,MONTANITA,18410,2017,7,Comunidades,0,0,0,0,0,BRDEH,0,0,0
TOLIMA,73,RIOBLANCO,73616,2017,4,Comunidades,0,0,0,0,0,THE HALO TRUST,1,0,0
ANTIOQUIA,5,BRICENO,5107,2017,4,Comunidades,0,0,0,0,0,BRDEH,0,0,0
TOLIMA,73,PLANADAS,73555,2018,5,Comunidades,14637,1,8,3,12,BRDEH,0,0,1
ANTIOQUIA,5,SAN RAFAEL,5667,2018,12,Comunidades,887,0,0,0,0,THE HALO TRUST,1,0,1
CAUCA,19,BALBOA,19075,2019,5,Comunidades,0,0,0,0,0,CAMPANA COLOMBIANA CONTRA MINAS,0,0,0
ANTIOQUIA,5,NARINO,5483,2014,5,Comunidades,1502,3,0,0,3,THE HALO TRUST,1,0,2
META,50,VISTAHERMOSA,50711,2017,6,Comunidades,0,0,0,0,0,AYUDA POPULAR NORUEGA,0,0,0
META,50,VISTAHERMOSA,50711,2017,2,Comunidades,0,0,0,0,0,BRDEH,1,0,0
CAQUETA,18,MONTANITA,18410,2018,4,Comunidades,0,0,0,0,0,BRDEH,1,0,0
NORTE DE SANTANDER,54,TOLEDO,54820,2008,11,Bases Militares,11013,33,5,0,38,BRDEH,0,0,1
ANTIOQUIA,5,COCORNA,5197,2016,7,Comunidades,0,0,0,0,0,BRDEH,0,0,0
SANTANDER,68,SUCRE,68773,2019,4,Comunidades,0,0,0,0,0,BRDEH,4,0,0
ANTIOQUIA,5,SAN FRANCISCO,5652,2011,10,Comunidades,0,0,0,0,0,BRDEH,1,0,0
PUTUMAYO,86,MOCOA,86001,2018,5,Comunidades,0,0,0,0,0,BRDEH,7,0,0
SANTANDER,68,EL CARMEN,68235,2016,6,Comunidades,0,1,0,0,1,BRDEH,1,0,0
ANTIOQUIA,5,SAN CARLOS,5649,2011,10,Comunidades,5666,7,1,0,8,BRDEH,19,1,2
TOLIMA,73,LIBANO,73411,2018,2,Comunidades,0,0,0,0,0,BRDEH,8,0,0
PUTUMAYO,86,MOCOA,86001,2018,2,Comunidades,0,0,0,0,0,BRDEH,3,0,0
HUILA,41,TELLO,41799,2018,7,Comunidades,0,0,0,0,0,BRDEH,2,0,0
META,50,SAN JUAN DE ARAMA,50683,2016,8,Comunidades,0,0,0,0,0,THE HALO TRUST,0,0,0
HUILA,41,TELLO,41799,2019,4,Comunidades,4729,0,0,0,0,BRDEH,4,1,0
ANTIOQUIA,5,ITUANGO,5361,2019,2,Comunidades,7802,0,0,0,0,BRDEH,0,1,1
SANTANDER,68,SURATA,68780,2018,6,Comunidades,0,0,0,0,0,BRDEH,1,0,0
META,50,EL DORADO,50270,2010,4,Comunidades,1545,8,0,0,8,BRDEH,1,1,1
TOLIMA,73,SAN ANTONIO,73675,2018,3,Comunidades,0,0,0,0,0,BRDEH,27,0,0
META,50,VISTAHERMOSA,50711,2017,7,Comunidades,0,0,0,0,0,HANDICAP INTERNATIONAL,0,0,0
ANTIOQUIA,5,SABANALARGA,5628,2017,7,Comunidades,0,0,0,0,0,BRDEH,3,0,0
NARINO,52,IPIALES,52356,2018,6,Comunidades,0,0,0,0,0,BRDEH,4,0,0
CALDAS,17,SAMANA,17662,2017,3,Comunidades,0,0,0,0,0,BRDEH,0,0,0
RISARALDA,66,BELEN DE UMBRIA,66088,2019,4,Comunidades,0,0,0,0,0,BRDEH,12,0,0
VALLE DEL CAUCA,76,PALMIRA,76520,2018,7,Comunidades,0,0,0,0,0,BRDEH,0,0,0
ANTIOQUIA,5,ARGELIA,5055,2017,12,Comunidades,0,0,0,0,0,THE HALO TRUST,0,0,0
BOLIVAR,13,EL CARMEN DE BOLIVAR,13244,2013,6,Comunidades,10439,0,0,0,0,BRDEH,2,1,0
ANTIOQUIA,5,SAN FRANCISCO,5652,2013,2,Comunidades,127,0,0,0,0,BRDEH,0,1,0
TOLIMA,73,CHAPARRAL,73168,2018,6,Comunidades,16808,0,0,1,1,BRDEH,0,2,1
PUTUMAYO,86,PUERTO ASIS,86568,2019,2,Comunidades,1357,3,1,0,4,CAMPANA COLOMBIANA CONTRA MINAS,1,0,2
SANTANDER,68,SAN VICENTE DE CHUCURI,68689,2013,8,Comunidades,0,0,0,0,0,BRDEH,0,0,0
SANTANDER,68,SAN VICENTE DE CHUCURI,68689,2014,7,Comunidades,0,0,0,0,0,BRDEH,0,0,0
CUNDINAMARCA,25,MACHETA,25426,2018,2,Comunidades,0,0,0,0,0,BRDEH,3,0,0
SANTANDER,68,EL CARMEN,68235,2017,2,Comunidades,3953,0,0,0,0,BRDEH,0,1,0
CAQUETA,18,BELEN DE LOS ANDAQUIES,18094,2019,1,Comunidades,0,4,0,0,4,BRDEH,5,0,0
SANTANDER,68,MACARAVITA,68425,2018,5,Comunidades,0,0,0,0,0,BRDEH,2,0,0
