departamento,organizacion,eventos
AMAZONAS,BRDEH,3
ANTIOQUIA,AYUDA POPULAR NORUEGA,0
ANTIOQUIA,BRDEH,214
ANTIOQUIA,THE HALO TRUST,77
ARAUCA,BRDEH,1
ATLANTICO,BRDEH,1
BOGOTA DC,ATEXX,0
BOGOTA DC,BRDEH,1
BOLIVAR,ARMADA NACIONAL,29
BOLIVAR,BRDEH,36
BOYACA,BRDEH,0
CALDAS,BRDEH,81
CAQUETA,AYUDA POPULAR NORUEGA,0
CAQUETA,BRDEH,51
CAQUETA,DDG,0
CAQUETA,HANDICAP INTERNATIONAL,4
CASANARE,BRDEH,0
CAUCA,BRDEH,1
CAUCA,CAMPANA COLOMBIANA CONTRA MINAS,1
CAUCA,HANDICAP INTERNATIONAL,3
CAUCA,THE HALO TRUST,1
CESAR,BRDEH,1
CHOCO,BRDEH,2
CORDOBA,BRDEH,0
CUNDINAMARCA,BRDEH,1
GUAINIA,BRDEH,0
GUAVIARE,BRDEH,3
HUILA,BRDEH,8
HUILA,CAMPANA COLOMBIANA CONTRA MINAS,6
LA GUAJIRA,BRDEH,0
MAGDALENA,BRDEH,0
META,AYUDA POPULAR NORUEGA,0
META,BRDEH,45
META,CAMPANA COLOMBIANA CONTRA MINAS,7
META,HANDICAP INTERNATIONAL,5
META,THE HALO TRUST,17
NARINO,BRDEH,13
NARINO,PERIGEO,1
NARINO,THE HALO TRUST,3
NORTE DE SANTANDER,BRDEH,2
PUTUMAYO,BRDEH,17
PUTUMAYO,CAMPANA COLOMBIANA CONTRA MINAS,5
PUTUMAYO,THE HALO TRUST,0
QUINDIO,BRDEH,1
RISARALDA,BRDEH,1
SANTANDER,BRDEH,108
SUCRE,ARMADA NACIONAL,5
SUCRE,BRDEH,0
TOLIMA,BRDEH,38
TOLIMA,THE HALO TRUST,34
VALLE DEL CAUCA,BRDEH,26
VALLE DEL CAUCA,THE HALO TRUST,4
